School Name,City,State,Postcode,Type,Sector,Status,ACARA ID,DEEWR ID
Australian Christian College - Moreton,CABOOLTURE,QLD,4510,Primary/Secondary,Non-Government,Open,47952,15702
Australian Christian College - Singleton,SINGLETON,NSW,2330,Primary/Secondary,Non-Government,Open,44029,8793
Australian Christian College - Southlands,ALBANY,WA,6330,Primary/Secondary,Non-Government,Open,49125,16593
Australian Christian College: Marsden Park,RIVERSTONE,NSW,2765,Primary/Secondary,Non-Government,Open,50240,16453
Australian Industry Trade College,ROBINA,QLD,4226,Secondary,Non-Government,Open,40816,28118
Australian International Academy of Education - Coburg North Campus,COBURG NORTH,VIC,3058,Primary/Secondary,Non-Government,Open,46298,4270
Australian International Academy of Education - Strathfield Campus,STRATHFIELD,NSW,2135,Primary/Secondary,Non-Government,Open,43940,14348
Australian International Islamic College,DURACK,QLD,4077,Primary/Secondary,Non-Government,Open,47989,17708
Australian Islamic College (Dianella),DIANELLA,WA,6059,Primary/Secondary,Non-Government,Open,49103,14588
Australian Islamic College (Kewdale),KEWDALE,WA,6105,Primary/Secondary,Non-Government,Open,49128,16671
Australian Islamic College (Thornlie),THORNLIE,WA,6108,Primary/Secondary,Non-Government,Open,49079,13273
Australian Islamic College of Sydney,MOUNT DRUITT,NSW,2770,Primary/Secondary,Non-Government,Open,43937,13436
Australian Performing Arts Grammar School,HARRIS PARK,NSW,2150,Secondary,Non-Government,Open,43756,23376
Australian Science & Mathematics School,BEDFORD PARK,SA,5042,Secondary,Government,Open,40683,17078
Australian Trade College North Brisbane,SCARBOROUGH,QLD,4020,Secondary,Non-Government,Open,40797,27120
Australian Trades College (WA),ARMADALE,WA,6112,Secondary,Non-Government,Open,50220,26758
Australind Primary School,AUSTRALIND,WA,6233,Primary,Government,Open,48648,12444
Australind Senior High School,AUSTRALIND,WA,6233,Secondary,Government,Open,48235,14914
Autism Queensland Education and Therapy Centre,SUNNYBANK HILLS,QLD,4109,Primary/Secondary,Non-Government,Open,40402,3130
Avalon Public School,AVALON BEACH,NSW,2107,Primary,Government,Open,41251,7718
Ave Maria College,ABERFELDIE,VIC,3040,Secondary,Non-Government,Open,45958,749
Aveley Primary School,AVELEY,WA,6069,Primary,Government,Open,50448,29653
Avenel Primary School,AVENEL,VIC,3664,Primary,Government,Open,44033,11523
Aviation High,CLAYFIELD,QLD,4011,Secondary,Government,Open,47466,11135
Avila College,MOUNT WAVERLEY,VIC,3149,Secondary,Non-Government,Open,45976,750
Avoca Beach Public School,AVOCA BEACH,NSW,2251,Primary,Government,Open,41856,16159
Avoca Primary School,AVOCA,TAS,7213,Primary,Government,Open,40151,8203
Avoca Primary School,AVOCA,TAS,7213,Primary,Government,Open,40151,8203
Avoca Primary School,AVOCA,TAS,7213,Primary,Government,Open,40151,8203
Avoca Primary School,AVOCA,TAS,7213,Primary,Government,Open,40151,8203
Avoca Primary School,AVOCA,VIC,3467,Primary,Government,Open,44032,10876
Avoca Public School,AVOCA,NSW,2577,Primary,Government,Open,42719,10243
Avoca State School,BUNDABERG,QLD,4670,Primary,Government,Open,47316,12760
Avondale Primary School,AVONDALE HEIGHTS,VIC,3034,Primary,Government,Open,44854,6744
Avondale School,COORANBONG,NSW,2265,Primary/Secondary,Non-Government,Open,43845,18070
Avondale State School,AVONDALE,QLD,4670,Primary,Government,Open,46788,12804
Avonvale Education Support Centre,NORTHAM,WA,6401,Primary/Secondary,Government,Open,48814,15142
Avonvale Primary School,NORTHAM,WA,6401,Primary,Government,Open,48276,12575
Awaba Public School,AWABA,NSW,2283,Primary,Government,Open,41857,8964
Awabakal Environmental Education Centre,DUDLEY,NSW,2290,Primary/Secondary,Government,Open,40743,24075
Axedale Primary School,AXEDALE,VIC,3551,Primary,Government,Open,44178,11311
Ayr East State School,AYR,QLD,4807,Primary,Government,Open,46938,18124
Ayr State High School,AYR,QLD,4807,Secondary,Government,Open,47413,6524
Ayr State School,AYR,QLD,4807,Primary,Government,Open,46709,12996
Babakin Primary School,BABAKIN,WA,6418,Primary,Government,Open,48277,12566
Babinda State School,BABINDA,QLD,4861,Primary/Secondary,Government,Open,47146,15046
Bacchus Marsh College,BACCHUS MARSH,VIC,3340,Secondary,Government,Open,45525,10083
Bacchus Marsh Grammar,BACCHUS MARSH,VIC,3340,Primary/Secondary,Non-Government,Open,46314,16082
Bacchus Marsh Primary School,BACCHUS MARSH,VIC,3340,Primary,Government,Open,44036,10085
Back Plains State School,BACK PLAINS,QLD,4361,Primary,Government,Open,46630,11962
Baden Powell P-9 College,HOPPERS CROSSING,VIC,3029,Primary/Secondary,Government,Open,45159,14866
Badger Creek Primary School,HEALESVILLE,VIC,3777,Primary,Government,Open,44584,11811
Badgerys Creek Public School,BADGERYS CREEK,NSW,2555,Primary,Government,Open,41358,8532
Badgingarra Primary School,BADGINGARRA,WA,6521,Primary,Government,Open,48278,12646
Bagdad Primary School,BAGDAD,TAS,7030,Primary,Government,Open,40221,8351
Bagdad Primary School,BAGDAD,TAS,7030,Primary,Government,Open,40221,8351
Bagdad Primary School,BAGDAD,TAS,7030,Primary,Government,Open,40221,8351
Bagdad Primary School,BAGDAD,TAS,7030,Primary,Government,Open,40221,8351
Baimbridge College,HAMILTON,VIC,3300,Primary/Secondary,Government,Open,45552,15916
Bairnsdale Christian Community School,BAIRNSDALE,VIC,3875,Primary,Non-Government,Open,46348,15678
Bairnsdale Primary School,BAIRNSDALE,VIC,3875,Primary,Government,Open,44135,12087
Bairnsdale Secondary College,BAIRNSDALE,VIC,3875,Secondary,Government,Open,45489,12086
Bairnsdale West Primary School,BAIRNSDALE,VIC,3875,Primary,Government,Open,44812,12088
Bajool State School,BAJOOL,QLD,4699,Primary,Government,Open,46937,12832
Bakers Hill Primary School,BAKERS HILL,WA,6562,Primary,Government,Open,48279,12697
Bakewell Primary School,BAKEWELL,NT,832,Primary,Government,Open,50012,16528
Balaclava State School,CAIRNS,QLD,4870,Primary,Government,Open,47228,13103
Balaklava High School,BALAKLAVA,SA,5461,Secondary,Government,Open,49454,7403
Balaklava Primary School,BALAKLAVA,SA,5461,Primary,Government,Open,49341,7135
Balarang Public School,OAK FLATS,NSW,2529,Primary,Government,Open,42868,10032
Balcatta Primary School,BALCATTA,WA,6021,Primary,Government,Open,48280,8906
Balcatta Senior High School,BALCATTA,WA,6021,Secondary,Government,Open,48119,8907
Balcombe Grammar School,MOUNT MARTHA,VIC,3934,Primary/Secondary,Non-Government,Open,46383,27586
Bald Blair Public School,GUYRA,NSW,2365,Primary,Government,Open,42414,9413
Bald Face Public School,BLAKEHURST,NSW,2221,Primary,Government,Open,41065,6131
Bald Hills State School,BALD HILLS,QLD,4036,Primary,Government,Open,46397,11173
Baldivis Primary School,BALDIVIS,WA,6171,Primary,Government,Open,48281,5233
Baler Primary School,SOUTH HEDLAND,WA,6722,Primary,Government,Open,48611,12748
Balga Primary School,BALGA,WA,6061,Primary,Government,Open,48282,6119
Balga Senior High School,BALGA,WA,6061,Secondary,Government,Open,48153,6666
Balgowlah Heights Public School,BALGOWLAH,NSW,2093,Primary,Government,Open,41248,7693
Balgowlah North Public School,NORTH BALGOWLAH,NSW,2093,Primary,Government,Open,41269,7694
Balgownie Public School,BALGOWNIE,NSW,2519,Primary,Government,Open,42721,10002
Balingup Primary School,BALINGUP,WA,6253,Primary,Government,Open,48283,12457
Ballajura Community College,BALLAJURA,WA,6066,Primary/Secondary,Government,Open,48245,14647
Ballajura Primary School,BALLAJURA,WA,6066,Primary,Government,Open,48698,14915
Ballam Park Primary School,FRANKSTON,VIC,3199,Primary,Government,Open,44964,9435
Ballan Primary School,BALLAN,VIC,3342,Primary,Government,Open,44281,10111
Ballandean State School,BALLANDEAN,QLD,4382,Primary,Government,Open,47044,11985
Ballarat & Clarendon College,BALLARAT,VIC,3350,Primary/Secondary,Non-Government,Open,46146,16351
Ballarat Christian College,SEBASTOPOL,VIC,3356,Primary/Secondary,Non-Government,Open,46384,26580
Ballarat Grammar,WENDOUREE,VIC,3355,Primary/Secondary,Non-Government,Open,46166,16352
Ballarat High School,BALLARAT,VIC,3350,Secondary,Government,Open,45350,10119
Ballarat North Primary School,BALLARAT,VIC,3350,Primary,Government,Open,44790,10120
Ballarat Primary School (Dana Street),BALLARAT,VIC,3350,Primary,Government,Open,44038,16441
Ballarat Secondary College,BALLARAT EAST,VIC,3350,Secondary,Government,Open,40772,25736
Ballarat Specialist School,LAKE GARDENS,VIC,3355,Special,Government,Open,44831,6159
Ballarat Steiner School,MOUNT HELEN,VIC,3350,Primary,Non-Government,Open,46355,16958
Balliang East Primary School,BALLIANG EAST,VIC,3340,Primary,Government,Open,44653,10087
Ballidu Primary School,BALLIDU,WA,6606,Primary,Government,Open,48284,15143
Ballimore Public School,BALLIMORE,NSW,2830,Primary,Government,Open,42941,11039
Ballina High School,BALLINA,NSW,2478,Secondary,Government,Open,42383,9764
Ballina Public School,BALLINA,NSW,2478,Primary,Government,Open,42139,9765
Balmain Public School,BALMAIN,NSW,2041,Primary,Government,Open,41130,7588
Balmoral K-12 Community College,BALMORAL,VIC,3407,Primary/Secondary,Government,Open,45602,10692
Balmoral State High School,MORNINGSIDE,QLD,4170,Secondary,Government,Open,47437,6547
Balnarring Primary School,BALNARRING,VIC,3926,Primary,Government,Open,44343,14903
Balranald Central School,BALRANALD,NSW,2715,Primary/Secondary,Government,Open,42535,6377
Balwyn High School,BALWYN NORTH,VIC,3104,Secondary,Government,Open,45351,8243
Balwyn North Primary School,BALWYN NORTH,VIC,3104,Primary,Government,Open,44766,8244
Balwyn Primary School,BALWYN,VIC,3103,Primary,Government,Open,44181,8241
Bambara Primary School,PADBURY,WA,6025,Primary,Government,Open,48633,8954
Bambaroo State School,BAMBAROO,QLD,4850,Primary,Government,Open,47119,13030
Banana State School,BANANA,QLD,4702,Primary,Government,Open,46761,12858
Bandiana Primary School,BANDIANA,VIC,3694,Primary,Government,Open,44791,11641
Bangalow Public School,BANGALOW,NSW,2479,Primary,Government,Open,42140,9770
Bangor Public School,BANGOR,NSW,2234,Primary,Government,Open,41110,8669
Baniyala Garrangali School,NHULUNBUY,NT,881,Primary/Secondary,Government,Open,50139,27690
Banks Public School,ST CLAIR,NSW,2759,Primary,Government,Open,41769,16160
Banksia Beach State School,BANKSIA BEACH,QLD,4507,Primary,Government,Open,47396,14431
Banksia Grove Catholic Primary School,BANKSIA GROVE,WA,6031,Primary,Non-Government,Open,43888,18012
Banksia Montessori School,DIANELLA,WA,6059,Primary,Non-Government,Open,40834,28580
Banksia Park International High School,BANKSIA PARK,SA,5091,Secondary,Government,Open,49600,7059
Banksia Park Primary School,LEEMING,WA,6149,Primary,Government,Open,48697,14931
Banksia Park Primary School,BANKSIA PARK,SA,5091,Primary,Government,Open,49569,7061
Banksia Road Public School,GREENACRE,NSW,2190,Primary,Government,Open,41462,8555
Banksmeadow Public School,BOTANY,NSW,2019,Primary,Government,Open,40992,6390
Bankstown Girls High School,BANKSTOWN,NSW,2200,Secondary,Government,Open,41572,6340
Bankstown Hospital School,BANKSTOWN,NSW,2200,Primary/Secondary,Government,Open,40806,27662
Bankstown North Public School,BANKSTOWN,NSW,2200,Primary,Government,Open,41360,8574
Bankstown Public School,BANKSTOWN,NSW,2200,Primary,Government,Open,41552,8575
Bankstown Senior College,BANKSTOWN,NSW,2200,Secondary,Government,Open,40638,15388
Bankstown South Infants School,BANKSTOWN,NSW,2200,Primary,Government,Open,40523,8576
Bankstown West Public School,BANKSTOWN,NSW,2200,Primary,Government,Open,41457,8578
Bannister Creek Primary School,LYNWOOD,WA,6147,Primary,Government,Open,48639,12350
Bannockburn Primary School,BANNOCKBURN,VIC,3331,Primary,Government,Open,44168,10044
Banora Point High School,BANORA POINT,NSW,2486,Secondary,Government,Open,42387,16648
Banora Point Public School,BANORA POINT,NSW,2486,Primary,Government,Open,42141,9515
Banyan Fields Primary School,CARRUM DOWNS,VIC,3201,Primary,Government,Open,44627,9449
Banyule Primary School,ROSANNA,VIC,3084,Primary,Government,Open,44824,8116
Baradine Central School,BARADINE,NSW,2396,Primary/Secondary,Government,Open,42942,6402
Baralaba State School,BARALABA,QLD,4702,Primary/Secondary,Government,Open,47200,12859
Baranduda Primary School,BARANDUDA,VIC,3691,Primary,Government,Open,44440,11624
Barcaldine Prep-12 State School,BARCALDINE,QLD,4725,Primary/Secondary,Government,Open,46770,6548
Bardon State School,BARDON,QLD,4065,Primary,Government,Open,47001,11200
Bardwell Park Infants School,BARDWELL PARK,NSW,2207,Primary,Government,Open,40525,8591
Barellan Central School,BARELLAN,NSW,2665,Primary/Secondary,Government,Open,42536,10521
Bargara State School,BARGARA,QLD,4670,Primary,Government,Open,46856,12761
Bargo Public School,BARGO,NSW,2574,Primary,Government,Open,41361,10234
Barham High School,BARHAM,NSW,2732,Secondary,Government,Open,42710,10671
Barham Public School,BARHAM,NSW,2732,Primary,Government,Open,42537,10672
Baringa Special School,MOE,VIC,3825,Special,Government,Open,45005,6314
Baringhup Primary School,BARINGHUP,VIC,3463,Primary,Government,Open,44340,16365
Barker College,HORNSBY,NSW,2077,Primary/Secondary,Non-Government,Open,43838,2245
Barkers Vale Public School,WADEVILLE,NSW,2474,Primary,Government,Open,42142,9751
Barkly Highway State School,MOUNT ISA,QLD,4825,Primary,Government,Open,46889,13058
Barmedman Public School,BARMEDMAN,NSW,2668,Primary,Government,Open,42538,10527
Barmera Primary School,BARMERA,SA,5345,Primary,Government,Open,49352,7348
Barnawartha Primary School,BARNAWARTHA,VIC,3688,Primary,Government,Open,44296,11606
Barnier Public School,QUAKERS HILL,NSW,2763,Primary,Government,Open,41777,14672
Barnsley Public School,BARNSLEY,NSW,2278,Primary,Government,Open,41858,9127
Barooga Public School,BAROOGA,NSW,3644,Primary,Government,Open,42539,10460
Barraba Central School,BARRABA,NSW,2347,Primary/Secondary,Government,Open,42415,9371
Barrack Heights Public School,BARRACK HEIGHTS,NSW,2528,Primary,Government,Open,42887,10023
Barrenjoey High School,AVALON,NSW,2107,Secondary,Government,Open,41342,7719
Barrenjoey Montessori School,AVALON,NSW,2107,Primary,Non-Government,Open,40697,17547
Barrett Adolescent Centre Special School,WACOL,QLD,4076,Secondary,Government,Open,40687,17396
Barrington Public School,BARRINGTON,NSW,2422,Primary,Government,Open,42143,9523
Bartle Frere State School,BARTLE FRERE,QLD,4861,Primary,Government,Open,47244,13119
Barunga School,ARNOLD,NT,852,Primary/Secondary,Government,Open,50079,6731
Barwon Heads Primary School,BARWON HEADS,VIC,3227,Primary,Government,Open,44314,9600
Barwon Learning Centre,MOREE,NSW,2400,Primary/Secondary,Government,Open,42512,23773
Barwon Valley School,BELMONT,VIC,3216,Special,Government,Open,45178,15104
Baryulgil Public School,BARYULGIL,NSW,2460,Primary,Government,Open,42144,9683
Basket Range Primary School,BASKET RANGE,SA,5138,Primary,Government,Open,49354,7168
Bass Coast Specialist School,WONTHAGGI,VIC,3995,Special,Government,Open,45589,28199
Bass High School,BASS HILL,NSW,2197,Secondary,Government,Open,41567,8570
Bass Hill Public School,BASS HILL,NSW,2197,Primary,Government,Open,41362,8571
Bass Valley Primary School,CORINELLA,VIC,3984,Primary,Government,Open,45077,12247
Bassendean Primary School,BASSENDEAN,WA,6054,Primary,Government,Open,48285,9031
Batchelor Area School,BATCHELOR,NT,845,Primary/Secondary,Government,Open,50052,7950
Bateau Bay Public School,BATEAU BAY,NSW,2261,Primary,Government,Open,42054,8725
Bateman Primary School,BATEMAN,WA,6150,Primary,Government,Open,48566,12344
Batemans Bay High School,BATEHAVEN,NSW,2536,Secondary,Government,Open,42935,14942
Batemans Bay Public School,SURFSIDE,NSW,2536,Primary,Government,Open,42722,10056
Bates Drive School,KAREELA,NSW,2232,Primary/Secondary,Government,Open,41126,16161
Bathurst Public School,BATHURST,NSW,2795,Primary,Government,Open,42943,10975
Bathurst South Public School,BATHURST,NSW,2795,Primary,Government,Open,43067,10976
Bathurst West Public School,BATHURST,NSW,2795,Primary,Government,Open,43066,10977
Batlow Technology School,BATLOW,NSW,2730,Primary/Secondary,Government,Open,42540,6415
Bauhinia State School,BAUHINIA,QLD,4718,Primary,Government,Open,46674,12902
Baulkham Hills High School,BAULKHAM HILLS,NSW,2153,Secondary,Government,Open,41828,7852
Baulkham Hills North Public School,BAULKHAM HILLS,NSW,2153,Primary,Government,Open,41295,7853
Bauple State School,BAUPLE,QLD,4650,Primary,Government,Open,46969,12701
Baxter Primary School,BAXTER,VIC,3911,Primary,Government,Open,44545,12127
Bayles Regional Primary School,BAYLES,VIC,3981,Primary,Government,Open,45212,12238
Bayside Christian College,LANGWARRIN SOUTH,VIC,3911,Primary/Secondary,Non-Government,Open,46271,4000
Bayside P-12 College,WILLIAMSTOWN,VIC,3016,Primary/Secondary,Government,Open,45538,16370
Bayside Special Developmental School,MOORABBIN,VIC,3189,Special,Government,Open,45106,6352
Bayswater North Primary School,BAYSWATER NORTH,VIC,3153,Primary,Government,Open,44711,8994
Bayswater Primary School,BAYSWATER,VIC,3153,Primary,Government,Open,44431,8904
Bayswater Primary School,BAYSWATER,WA,6053,Primary,Government,Open,48286,5472
Bayswater Secondary College,BAYSWATER,VIC,3153,Secondary,Government,Open,45352,8992
Bayswater South Primary School,BAYSWATER,VIC,3153,Primary,Government,Open,44943,8998
Bayswater West Primary School,BAYSWATER,VIC,3153,Primary,Government,Open,44984,9001
Bayulu Remote Community School,FITZROY CROSSI,WA,6765,Primary,Government,Open,48377,15131
Bayview College,PORTLAND,VIC,3305,Secondary,Non-Government,Open,46161,15834
Beachlands Primary School,GERALDTON,WA,6530,Primary,Government,Open,48287,12652
Beachmere State School,BEACHMERE,QLD,4510,Primary,Government,Open,47371,7521
Beachport Primary School,BEACHPORT,SA,5280,Primary,Government,Open,49355,7299
